English,繁中,简中,Deutsch,Русский,Français,日本語,한국어,Español,Português,العربية,українська
Resolution Notice,解析度提醒,分辨率提醒,Auflösungshinweis,Разрешение экрана,Avis résolution,解像度通知,해상도 알림,Aviso de resolución,Notificação de resolução,إشعارات الوضوح,Роздiльна здатнiсть
ON,開啟,开启,Ein,ВКЛ.,MARCHE,オン,ON,Encendido,ATIVADO,تشغيل,Увімкнено
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Input Auto Switch,輸入自動切換,输入自动切换,Input Auto Switch,Автопереключение,Commutateur automatique,入力自動切換,입력 자동 전환,Input Auto Switch,Input Auto Switch,تبديل تلقائي للدخل,Автоперемикання аудiо
ON,開啟,开启,Ein,ВКЛ.,MARCHE,オン,ON,Encendido,ATIVADO,تشغيل,Увімкнено
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Auto Power OFF,自動關機,自动关机,Auto Power OFF,Автоотключение,Mise hors tension automatique,自動電源オフ,자동 전원 끄기,Apagar automáticamente,Desligar automaticamente,فصل تلقائى للطاقة,Автовимкнення
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
10min.,10分鐘,10分钟,10 Min.,10 мин.,10 min,10分,10분,10 Minutos,10 min.,10 دقائق,10 хв.
20min.,20分鐘,20分钟,20 Min.,20 мин.,20 min,20分,20분,20 Minutos,20 min.,20 دقيقة,20 хв.
30min.,30分鐘,30分钟,30 Min.,30 мин.,30 min,30分,30분,30 Minutos,30 min.,30 دقيقة,30 хв.
LED Indicator,LED指示燈亮度,LED指示灯亮度,LED-Anzeige,Светодиодный индикатор,Indicateur LED,LEDインディケーター,LED 표시기,Indicador LED,Indicador LED,مؤشر LED,LED індикатор
Always ON,全時開啟,全时开启,Immer EIN,Всегда Вкл.,Always ON,常にON,상시 ON,Always ON,Always ON,تشغيل دائم,Завжди увімкнено
Always OFF,全時關閉,全时关闭,Immer AUS,Всегда Выкл.,Always OFF,常にOFF,상시 OFF,Always OFF,Always OFF,إغلاق دائم,Завжди вимкнено
Standby ON,待機開啟,待机开启,Standby EIN,Дежурный режим Вкл.,Standby ON,スタンバイ,스탠바이 ON,Standby ON,Standby ON,وضع الاستعداد,Standby ON
HDMI-CEC,HDMI-CEC,HDMI-CEC,HDMI-CEC,HDMI-CEC,HDMI-CEC,HDMI-CEC,HDMI-CEC,HDMI-CEC,HDMI-CEC,HDMI-CEC,HDMI-CEC
ON,開啟,开启,Ein,ВКЛ.,MARCHE,オン,ON,Encendido,ATIVADO,تشغيل,Увімкнено
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Langauge,,,,,,,,,,,
English,繁中,简中,Deutsch,Русский,Français,日本語,한국어,Español,Português,العربية,Українська
繁中,,,,,,,,,,,
简中,,,,,,,,,,,
Deutsch,,,,,,,,,,,
Русский,,,,,,,,,,,
Français,,,,,,,,,,,
日本語,,,,,,,,,,,
한국어,,,,,,,,,,,
Español,,,,,,,,,,,
Português,,,,,,,,,,,
العربية,,,,,,,,,,,
українська,,,,,,,,,,,
Reset all,清除所有設定值,清除所有设定值,Alles zurücksetzen,Сбросить все,Tout réinitialiser,全リセット,재설정,Reajustar,Repor tudo,إعادة ضبط الكل,Скинути все
Turn off,,,,,,,,,,,
Crosshair,準心輔助,准心辅助,Fadenkreuz,Прицел,Viseur,照準線,크로스헤어,Punto de mira,Mira,نقطة التقاطع,Прицiл
Input,輸入選擇,输入选择,Eingang,Входной сигнал,Entrée,入力,입력,Entrada,Entrada,الدخل,Вхід
HDMI 1,HDMI 1,HDMI 1,HDMI1,HDMI 1,HDMI 1,HDMI 1,HDMI 1,HDMI 1,HDMI 1,HDMI 1,HDMI 1
HDMI 2,HDMI 2,HDMI 2,HDMI2,HDMI 2,HDMI 2,HDMI 2,HDMI 2,HDMI 2,HDMI 2,HDMI 2,HDMI 2
DisplayPort,DisplayPort,DisplayPort,DisplayPort,DisplayPort,DisplayPort,DisplayPort,DisplayPort,DisplayPort,DisplayPort,DisplayPort,DisplayPort
Black Equalizer,黑平衡,黑平衡,Schwarzausgleich,Баланс черного,Égaliseur de noir,Black Equalizer,블랙 이퀄라이저,Ecualizador negro,Black Equalizer,إزالة الظل,Баланс чорного
Picture Mode,影像模式,影像模式,Bildmodus,Графика,Mode d’image,画像モード,시진모드,Modo imagen,Modo de Imagem,وضع الصورة,Режим зображення
Standard,預設模式,预设模式,Standard,Стандартный,Standard,スタンダード,표준,Modo estándar,Padrão,قياسى,Стандартний
Game,遊戲模式,游戏模式,Game,Игра,Jeu,ゲーム,게임,Juego,Jogos,الألعاب,Game
Movie,電影模式,电影模式,Film,Фильмы,Film,映画,영화 ,Modo cine,Filme,أفلام,Фільми
Reader,閱讀模式,阅读模式,Lesegerät,Чтение,Lecture,リーダー,읽기,Modo lector,Leitura,قراءة,Читання
sRGB,sRGB,sRGB,sRGB,sRGB,sRGB,sRGB,sRGB,sRGB,sRGB,sRGB,sRGB
Custom,使用者模式,用户模式,Benutzerdefiniert,Режим,Personnalisé,カスタム,사용자 모드,Personalizado,Personalizado,تخصيص,Режим
ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO
,,,,,,,,,,,
,,,,,,,,,,,
Gaming Timer,遊戲計時器,游戏计时器,Gaming Timer,Таймер игры,Minuterie de jeu,ゲームタイマー,게임 타이머,Cronómetro Gaming,Temporizador de jogo,ميقاتى الألعاب,Ігровий таймер
,,,,,,,,,,,
Aim Stabilizer,穩定瞄準功能,稳定瞄准功能,Zielstabilisator,Aim Stabilizer,Stabilisateur visée,照準安定器,에임 스테빌라이저,Aim Stabilizer,Aim Stabilizer,مثبت التصويب,Aim Stabilizer
FreeSync,FreeSync,FreeSync,FreeSync, FreeSync,FreeSync,FreeSync,FreeSync,FreeSync,FreeSync,FreeSync,FreeSync
Gaming,遊戲模式,游戏模式,Gaming,Игра,Jeu,ゲーミング,게임,Juego,Jogos,الألعاب,Gaming
,,,,,,,,,,,
Language,語言設定,语言设定,Sprache,Язык,Langue,言語,언어 ,Idioma,Idioma,اللغة,Мова
RGB LED,RGB燈光,RGB灯光,RGB LED,Подсветка RGB,LED RGB,RGB LED,RGB LED,LED RGB,LED RGB,RGB LED,Пiдсвiтка RGB
Mode 1,模式1,模式1,Mode 1,Режим 1,Mode 1,モード 1,모드 1,Modo 1,Modo 1,وضع 1,Режим 1
Mode 2,模式2,模式2,Mode 2,Режим 2,Mode 2,モード 2,모드 2,Modo 2,Modo 2,وضع 2,Режим 2
Mode 3,模式3,模式3,Mode 3,Режим 3,Mode 3,モード 3,모드 3,Modo 3,Modo 3,وضع 3,Режим 3
Audio Source,音訊來源,音讯来源,Audio Quelle,Источник аудиосигнала,Source audio,音源,오디오 소스,Fuente de Audio,Fonte de áudio,مصدر الصوت,Джерело аудiо
HDMI / DP,HDMI / DP,HDMI / DP,HDMI / DP,HDMI / DP,HDMI / DP,HDMI / DP,HDMI / DP,HDMI / DP,HDMI/DP,HDMI / DP,HDMI / DP
USB Codec,USB音效晶片,USB音效芯片,USB Codec,USB кодек,Codec USB,USBコーデック,USB 코덱,Codec USB,Codec USB,ترميز USB,USB кодек
Auto detect,自動偵測,自动检测,Auto-Erkennung,Автоопределение,Détection automatique,自動検知,자동 검색,Detector automático,Detetar automaticamente,رصد تلقائى,Автовизначення
1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,
Aim Stabilizer,穩定瞄準功能,稳定瞄准功能,Zielstabilisator,Aim Stabilizer,Stabilisateur visée,照準安定器,에임 스테빌라이저,Aim Stabilizer,Aim Stabilizer,مثبت التصويب,Aim Stabilizer
,,,,,,,,,,,
Friendly,Friendly,Friendly,Friendly,Удобный,Convivial,Friendly,Friendly,Amistoso,Friendly,صديق للبيئة,
,,,,,,,,,,,
Select,選擇,选择,Auswählen,Выбрать,Sélectionner,選択,선택,Seleccionar,Selecionar,تحديد,Вибрати
Confirm,確認,确认,Bestätigen,Подтвердить,Confirmer,確認,확인,Confirmar,Confirmar,تأكيد,Підтвердити
Adjust,調整,调整,Anpassen,Регулировать,Ajuster,調整,조정,Ajustar,Ajustar,ضبط,Керування
Move,移動,移动,Verschieben,Переместить,Déplacer,移動,이동,Mover,Mover,تحريك,Перемістити
Enter,輸入,输入,Eingeben,Войти,Saisir,入る,입력,Introducir,Entrar,إدخال,Увійти
Resolution,解析度,分辨率,Auflösung,Разрешение,Résolution,解像度,해상도,Resolución,Resolução,الوضوح,Роздiльна здатнiсть
"The button is locked
confirm to unlock OSD","按鈕已鎖定
確認解鎖OSD","按钮已锁定
确认解锁OSD","Taste ist gesperrt,
zur OSD-Freigabe
bestätigen",Кнопка заблокирована. Подтвердите  разблокировку экранного меню,"Le bouton est verrouillé
confirmer pour déverrouiller OSD","ボタンがロックされています
OSDのロック解除する","버튼잠김
OSD 잠금 해제 확인","El botón está bloqueado
Confirmar para desbloquear OSD","O botão está bloqueado
confirme para desbloquear o OSD",الزر مقفل، هل تريد تأكيد إلغاء قفل OSD؟,Кнопка заблокована. Підтвердіть розблокування меню
HDMI 1,HDMI 1,HDMI 1,HDMI1,HDMI 1,HDMI 1,HDMI 1,HDMI 1,HDMI 1,HDMI 1,HDMI 1,HDMI 1
HDMI 2,HDMI 2,HDMI 2,HDMI2,HDMI 2,HDMI 2,HDMI 2,HDMI 2,HDMI 2,HDMI 2,HDMI 2,HDMI 2
DisplayPort,DisplayPort,DisplayPort,DisplayPort,DisplayPort,DisplayPort,DisplayPort,DisplayPort,DisplayPort,DisplayPort,DisplayPort,DisplayPort
No Signal,無信號,无信号,Kein Signal,Нет сигнала,Aucun signal,表示信号なし,신호없음,Sin señal,Sem sinal,لا توجد إشارة,Немає сигналу
Out of Range!,超出範圍,超出范围,Außerhalb des Bereichs!,Вне диапазона!,Hors plage !,表示範囲外です!,범위초과,Fuera de rango!,Fora de alcance!,خارج النطاق!,Out of Range!
,,,,,,,,,,,
Changing the default settings will increase the monitor power consumption. ,"修改出廠設定會增加
此台螢幕的能耗","修改出厂设定会增加
此台显示器的能耗",Eine Änderung der Standardeinstellungen erhöht den Stromverbrauch des Monitors. ,Изменение настроек по умолчанию приведет к увеличению энергопотребления монитора.,La modification des paramètres par défaut augmentera la consommation électrique du moniteur. ,出荷時の設定を変更した場合に、モニターの消費電力が増える可能性があります。,"디폴트 값 변경시 모니터 소비전력이
증가될수 있습니다",Changing the default settings will increase the monitor power consumption. ,Trocar as configurações padrão irá aumentar o consumo de energia do monitor,تغيير الإعدادات الافتراضية سوف يزيد من استهلاك الشاشة للكهرباء. ,Зміна параметрів за замовчуванням збільшить споживання енергії монітором.
,,,,,,,,,,,
"Note:
 When Overclocking is enabled.
The monitor may result some side effects.
It is possible to reduce such effects by setting a lower refresh rate.","注意：
當超頻模式被開啟時，螢幕可能會產生一些畫面異常現象。
降低螢幕的更新頻率可能可以減少畫面異常的情形。","注意：
当超频模式被开启时，屏幕可能会产生一些画面异常现象。
降低屏幕的更新频率可能可以减少画面异常的情形。","Anmerkung:_x000D_
Wenn Übertaktung aktiviert ist._x000D_
Der Monitor kann einige Nebenwirkungen haben._x000D_
Es ist möglich, solche Effekte zu reduzieren, indem eine niedrigere Aktualisierungsrate eingestellt wird.","Примечание:
Режим Overclocking может вызвать побочные эффекты при работе монитора. Влияние этих эффектов можно уменьшить, понизив частоту обновления экрана.","Note :
 Lorsque l'overclocking est activé.
Le moniteur peut entraîner certains effets secondaires.
Il est possible de réduire ces effets en fixant un taux de rafraîchissement plus faible.","注意：
オーバークロックモードを有効にすると描画に問題が発生する可能性があります。その場合はリフレッシュレートを下げることでその問題を低減できます。","주의: 오버클럭 enable시,사이드 이펙트현상이 나올수 있습니다. 
이러한경우, 화면 재생율 낮음 설정으로 사이드 이펙트 현상을 감소 시킬수 있습니다","Nota:
  Cuando el overclocking está habilitado.
El monitor puede provocar algunos efectos secundarios.
Es posible reducir estos efectos estableciendo una frecuencia de actualización más baja",Nota: Quando o overclock está abilitado o monitor pode apresentar efeitos inesperados. É possível reduzir esses efeitos definindo uma taxa de atualização menor,"ملحوظة:
عند تفعيل وضع كسر السرعة، قد تحدث بالشاشة بعض الآثار الجانبية. يمكن التقليل من هذه الآثار عن طريق إدخال معدل تحديث أقل.","Примітка:
  Коли ввімкнено розгін.
Монітор може викликати деякі побічні ефекти.
Ці ефекти можна зменшити, встановивши меншу частоту оновлення."
,,,,,,,,,,,
Standby Menu,Standby Menu,Standby Menu,Standby Menu,Standby Menu,Standby Menu,Standby Menu,Standby Menu,Standby Menu,Standby Menu,Standby Menu,Standby Menu
Other,其它設定,其它设定,Weitere Einstellungen,Другие настройки,Autres réglages,その他設定,기타 설정,Otros ajustes,Outras definições,إعدادات أخرى,Інший
Picture Quality,畫質優先,画质优先,Bildqualität,Качество изображения,Qualité d'image,画像品質,화질 ,Calidad del imagen,Qualidade da imagem,جودة الصورة,Якість зображення
,,,,,,,,,,,
PIP Size,PIP尺寸,PIP尺寸,PIP Größe,Размер PIP,Taille PIP,PIPサイズ,PIP 크기,Tamaño PIP,Tamanho PIP,حجم PIP ,Розмір PIP
Source,訊源,信号源,Quelle,Источник,Source,ソース,소스,Fuente,Fonte,المصدر,Джерело
Quick Boot,快速啟動,快速启动,Schnellstart,Быстрая загрузка,Démarrage rapide,クイックブート,빠른 부팅,Arranque rápido,Inicialização rápida,التمهيد السريع,Швидке завантаження
Location,位置,位置,Position,Расположение,Emplacement,位置,위치,Ubicación,Localização,الموقع,Розташування
Audio Switch,音訊切換,音讯切换,Audio Schalter,Переключение звука,Commutateur audio,オーディオ切替,오디오 전환,Interruptor Audio,Trocar áudio,تبديل الصوت,Перемикання звуку
Display Switch,視訊切換,视讯切换,Display Schalter,Переключение видео,Commutateur d'affichage,ディスプレイ切替,디스플레이 전환,Interruptor Imagen,Trocar exibição,تبديل الشاشة,Перемикання відео
